Checked	Tags	Confidence	Identifying.Node.Type	Identifying.Node	Search.ID	Identifying.Node.No	PSM.Ambiguity	Master.Protein.Accessions	Master.Protein.Descriptions	Delta.Cn	Rank	Search.Engine.Rank	Ions.Matched	Matched.Ions	Total.Ions	Quan.Info	Number.of.Protein.Groups	Contaminant	Protein.FDR.Confidence	.n	Control	M_1	M_2	M_3	G1_1	G1_2	G1_3	DS_1	DS_2	DS_3
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A0A0B4J2D5	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial OS=Homo sapiens OX=9606 GN=GATD3B PE=5 SV=1	0	1	1	0/0	0	0	NA	1	False	High	1	6.86523792810771	7.05355000006385	7.00084142859175	6.94071993867395	6.84176727931841	6.62042227298796	6.98725554948036	6.86802842903307	6.49235351194568	7.09068669814059
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A0A2R8Y4L2	Heterogeneous nuclear ribonucleoprotein A1-like 3 OS=Homo sapiens OX=9606 GN=HNRNPA1L3 PE=4 SV=1	0	1	1	0/0	0	0	NA	1	False	High	2	5.87912394690892	5.94941824703446	6.09760317919273	6.11152394246592	5.90639973035506	5.99241417422003	5.98153698894511	6.05072138507966	6.06559380591019	5.93957382505047
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A0AVT1	Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	10	6.91676327515275	6.93169505072961	6.80615857945125	6.85395606256882	6.9902441475722	7.04570534746099	6.9552627733504	6.93615520866871	6.94539729785363	6.92847911370355
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A0MZ66	Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1 PE=1 SV=4	0	1	1	0/0	0	0	NA	1	False	High	2	6.87481647773357	6.83274983757622	6.66322705840722	6.79899850504114	6.71970767808948	6.7687838368246	6.738654175031	6.54981534189977	6.6378173307321	6.54768592773495
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A1L0T0	2-hydroxyacyl-CoA lyase 2 OS=Homo sapiens OX=9606 GN=ILVBL PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	1	5.82085354791795	5.79359752949411	6.07666000955541	5.86506799217882	5.81737859096058	5.79854552871337	5.68499757319678	5.78143099374166	5.74456627713643	5.64103933585641
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A1X283	SH3 and PX domain-containing protein 2B OS=Homo sapiens OX=9606 GN=SH3PXD2B PE=1 SV=3	0	1	1	0/0	0	0	NA	1	False	High	2	6.31642551138471	6.28453721841466	6.20691146387202	6.35077443398881	6.2840226766059	6.25550237948363	6.24794888586241	6.15299602659194	6.23196192932571	6.05297941749919
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A3KMH1	von Willebrand factor A domain-containing protein 8 OS=Homo sapiens OX=9606 GN=VWA8 PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	1	6.61582037713951	6.80819590995458	6.81490301091208	6.6418235682378	6.57299179191906	6.5046094027706	6.69560871706046	6.49408584436184	6.48023975025202	6.65294491348224
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A3KN83	Protein strawberry notch homolog 1 OS=Homo sapiens OX=9606 GN=SBNO1 PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	1	5.85028290825258	5.72062771862948	5.82945404522129	5.78543017674177	5.89677543895697	5.84103022589052	5.8118996102982	5.77664789002174	5.88900944373628	5.81878039052002
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A4D1P6	WD repeat-containing protein 91 OS=Homo sapiens OX=9606 GN=WDR91 PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	1	6.38058531741838	6.59253773234389	6.46672184621385	6.57382345556314	6.29546228088257	6.30471552363614	6.36321692034831	6.24503922608456	6.18422106545498	6.39932834084172
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A5YKK6	CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	3	6.30709389060829	6.14427934481461	6.34138795105832	6.15111600848863	6.07233842947868	6.256552525272	6.20600839174095	6.14563672927657	6.14063029984981	6.27646862104077
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NDB9	Paralemmin-3 OS=Homo sapiens OX=9606 GN=PALM3 PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	1	7.08058695844943	6.94961679162537	6.85140393716104	7.1289301415961	6.73178760494908	6.86392444382612	6.89747781577553	6.66040680757689	6.81766484748284	6.65165939288119
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NDG6	Glycerol-3-phosphate phosphatase OS=Homo sapiens OX=9606 GN=PGP PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	1	6.99826324337809	6.96450751990939	6.74105737738991	6.97028353696327	6.6778624719434	6.6143114646418	6.86697481940666	6.68231046304133	6.43702219838101	6.78427160947151
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NDU8	RAB7A-interacting MON1-CCZ1 complex subunit 1 OS=Homo sapiens OX=9606 GN=RIMOC1 PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	2	6.31525346711242	6.25577192719175	6.14944010722144	6.25701277066139	6.51125840388808	6.48632318188102	6.3982096821776	6.50641681184725	6.94762513900767	6.47613970195918
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NFI3	Zinc finger protein 316 OS=Homo sapiens OX=9606 GN=ZNF316 PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	2	6.74678206274102	6.81861414062541	6.86274129079005	6.97253276365037	6.96149992121258	6.90768020452944	6.97152217637707	6.89806867258197	6.7530567058374	6.80349984278961
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NHG4	D-dopachrome decarboxylase-like protein OS=Homo sapiens OX=9606 GN=DDTL PE=2 SV=1	0	1	1	0/0	0	0	NA	1	False	High	1	6.68460322956098	6.6948996441511	6.2650319584881	6.63473998804138	6.82832902443614	6.65357675028751	6.79839997734906	7.09343199592727	6.79461553061769	6.90031151269007
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NHR9	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SMCHD1 PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	10	6.89841836842606	6.84993998499264	6.89058975711903	6.83539154169614	6.7895416887578	6.75557120964935	6.76577742863797	6.62389682521541	6.6796068026137	6.66459080985097
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NIH7	Protein unc-119 homolog B OS=Homo sapiens OX=9606 GN=UNC119B PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	3	6.13721628387979	5.98213139898106	6.00169355643537	6.04059920179428	6.03642821204108	6.1186587693919	6.05849001143073	6.0548583253825	6.08372151502642	6.01682501205285
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NIZ1	Ras-related protein Rap-1b-like protein OS=Homo sapiens OX=9606 PE=2 SV=1	0	1	1	0/0	0	0	NA	1	False	High	5	6.68640069003048	7.25418192817299	7.30200580988141	7.33036841744964	7.06710318186221	7.12236841785082	7.10532153982367	7.1287689971248	7.21783800392331	6.98154858307363
