Checked	Tags	Confidence	Identifying.Node.Type	Identifying.Node	Search.ID	Identifying.Node.No	PSM.Ambiguity	Master.Protein.Accessions	Master.Protein.Descriptions	Delta.Cn	Rank	Search.Engine.Rank	Ions.Matched	Matched.Ions	Total.Ions	Quan.Info	Number.of.Protein.Groups	Contaminant	Protein.FDR.Confidence	.n	Control	M_1	M_2	M_3	G1_1	G1_2	G1_3	DS_1	DS_2	DS_3
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A0A0B4J2D5	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial OS=Homo sapiens OX=9606 GN=GATD3B PE=5 SV=1	0	1	1	0/0	0	0	NA	1	False	High	1	6.46466553747777	6.72929699694868	6.70538815186298	6.57474510276758	6.41234075259796	6.08333209778855	6.60924398360581	6.43098466416679	5.84319429119378	6.74128682177957
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A0A2R8Y4L2	Heterogeneous nuclear ribonucleoprotein A1-like 3 OS=Homo sapiens OX=9606 GN=HNRNPA1L3 PE=4 SV=1	0	1	1	0/0	0	0	NA	1	False	High	2	4.53004154632979	4.74093691250455	4.99952176160935	5.09838024934998	4.68620218891611	4.89449223616313	4.89776599401227	5.02134042365816	5.00502398860087	4.78420479971428
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A0AVT1	Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	10	6.54084352376068	6.55585473088467	6.40471108657195	6.4457513954474	6.62463749244655	6.71120550599992	6.56478064218736	6.52821698234663	6.55235146200527	6.51759944340426
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A0MZ66	Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1 PE=1 SV=4	0	1	1	0/0	0	0	NA	1	False	High	2	6.47892623060294	6.4101256966612	6.1680602227807	6.36200004575415	6.23013742137721	6.3126356463098	6.25255872280526	5.94620609359739	6.08510030264993	5.94637037769848
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A1L0T0	2-hydroxyacyl-CoA lyase 2 OS=Homo sapiens OX=9606 GN=ILVBL PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	1	4.35554381509765	4.2981544227428	4.94443420150515	4.45364552811146	4.44935559491852	4.39014819565026	4.11349468506771	4.35442232702021	4.12513265475245	3.94414571258397
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A1X283	SH3 and PX domain-containing protein 2B OS=Homo sapiens OX=9606 GN=SH3PXD2B PE=1 SV=3	0	1	1	0/0	0	0	NA	1	False	High	2	5.54367341191756	5.48509800807496	5.26808904111197	5.59812261725395	5.4993240541926	5.44966900709618	5.44151653786775	5.23509392672074	5.36087783901392	5.03892393733607
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A3KMH1	von Willebrand factor A domain-containing protein 8 OS=Homo sapiens OX=9606 GN=VWA8 PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	1	6.07488373858203	6.37320512800406	6.41871090415867	6.11236447878569	6.00001763801615	5.89449223616313	6.18787688139028	5.85491025957783	5.8222853014308	6.11209034989804
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A3KN83	Protein strawberry notch homolog 1 OS=Homo sapiens OX=9606 GN=SBNO1 PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	1	4.44542931861485	4.05459739140831	4.16064275121822	4.1979159229009	4.6617260969199	4.51044242936797	4.48198959840952	4.34068227039391	4.56345700656721	4.48081265626434
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A4D1P6	WD repeat-containing protein 91 OS=Homo sapiens OX=9606 GN=WDR91 PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	1	5.66505265073095	6.0337186617324	5.81339534148134	5.99901185448682	5.52065256363311	5.542543272535	5.64928434380716	5.41468285183769	5.2634120295783	5.6996927324919
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A5YKK6	CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	3	5.52560766654427	5.19859793218584	5.56371337006493	5.18767881427451	5.07401821945993	5.45168062216298	5.36240469753597	5.22024709562541	5.17133644467992	5.48117828721246
