Checked	Tags	Confidence	Identifying.Node.Type	Identifying.Node	Search.ID	Identifying.Node.No	PSM.Ambiguity	Master.Protein.Accessions	Master.Protein.Descriptions	Delta.Cn	Rank	Search.Engine.Rank	Ions.Matched	Matched.Ions	Total.Ions	Quan.Info	Number.of.Protein.Groups	Contaminant	Protein.FDR.Confidence	.n	Control	M_1	M_2	M_3	G1_1	G1_2	G1_3	DS_1	DS_2	DS_3
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A0A0B4J2D5	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial OS=Homo sapiens OX=9606 GN=GATD3B PE=5 SV=1	0	1	1	0/0	0	0	NA	1	False	High	1	6.34958734886524	6.61421880833615	6.59030996325045	6.45966691415505	6.29726256398543	5.96825390917603	6.49416579499328	6.31590647555426	5.72811610258125	6.62620863316704
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A0A2R8Y4L2	Heterogeneous nuclear ribonucleoprotein A1-like 3 OS=Homo sapiens OX=9606 GN=HNRNPA1L3 PE=4 SV=1	0	1	1	0/0	0	0	NA	1	False	High	2	4.41496335771726	4.62585872389202	4.88444357299683	4.98330206073746	4.57112400030358	4.7794140475506	4.78268780539974	4.90626223504564	4.88994579998834	4.66912661110175
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A0AVT1	Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	10	6.42576533514815	6.44077654227215	6.28963289795942	6.33067320683487	6.50955930383402	6.59612731738739	6.44970245357483	6.4131387937341	6.43727327339274	6.40252125479173
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A0MZ66	Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1 PE=1 SV=4	0	1	1	0/0	0	0	NA	1	False	High	2	6.36384804199041	6.29504750804868	6.05298203416818	6.24692185714162	6.11505923276468	6.19755745769727	6.13748053419273	5.83112790498486	5.9700221140374	5.83129218908595
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A1L0T0	2-hydroxyacyl-CoA lyase 2 OS=Homo sapiens OX=9606 GN=ILVBL PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	1	4.24046562648513	4.18307623413028	4.82935601289262	4.33856733949893	4.33427740630599	4.27507000703773	3.99841649645518	4.23934413840769	4.01005446613993	3.82906752397144
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A1X283	SH3 and PX domain-containing protein 2B OS=Homo sapiens OX=9606 GN=SH3PXD2B PE=1 SV=3	0	1	1	0/0	0	0	NA	1	False	High	2	5.42859522330503	5.37001981946243	5.15301085249945	5.48304442864142	5.38424586558007	5.33459081848365	5.32643834925522	5.12001573810821	5.24579965040139	4.92384574872354
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A3KMH1	von Willebrand factor A domain-containing protein 8 OS=Homo sapiens OX=9606 GN=VWA8 PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	1	5.9598055499695	6.25812693939154	6.30363271554614	5.99728629017316	5.88493944940363	5.7794140475506	6.07279869277776	5.73983207096531	5.70720711281827	5.99701216128551
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A3KN83	Protein strawberry notch homolog 1 OS=Homo sapiens OX=9606 GN=SBNO1 PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	1	4.33035113000232	3.93951920279579	4.04556456260569	4.08283773428837	4.54664790830738	4.39536424075545	4.36691140979699	4.22560408178138	4.44837881795469	4.36573446765181
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A4D1P6	WD repeat-containing protein 91 OS=Homo sapiens OX=9606 GN=WDR91 PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	1	5.54997446211842	5.91864047311987	5.69831715286881	5.88393366587429	5.40557437502058	5.42746508392247	5.53420615519464	5.29960466322516	5.14833384096577	5.58461454387937
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A5YKK6	CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	3	5.41052947793174	5.08351974357331	5.4486351814524	5.07260062566198	4.9589400308474	5.33660243355045	5.24732650892345	5.10516890701288	5.05625825606739	5.36610009859993
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NDB9	Paralemmin-3 OS=Homo sapiens OX=9606 GN=PALM3 PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	1	6.66000451799891	6.46668159755924	6.36153109925434	6.72774277546581	6.13343776207954	6.33834783894255	6.36838882420249	6.00608498352355	6.24941996608009	5.99502907500641
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NDG6	Glycerol-3-phosphate phosphatase OS=Homo sapiens OX=9606 GN=PGP PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	1	6.54372450992842	6.48809755302275	6.18374398003906	6.50278514769102	6.05076073927031	5.95852237115825	6.32491732113237	6.03984538942423	5.6315428428862	6.19484990844823
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NDU8	RAB7A-interacting MON1-CCZ1 complex subunit 1 OS=Homo sapiens OX=9606 GN=RIMOC1 PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	2	5.42633217179646	5.31355933020244	5.01550732874951	5.29771610196751	5.78385332428931	5.74868753191834	5.59478376044859	5.76022809939483	6.44048227365979	5.71442495803032
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NFI3	Zinc finger protein 316 OS=Homo sapiens OX=9606 GN=ZNF316 PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	2	6.16917433229934	6.27383102213898	6.3793423753708	6.50604916501291	6.46917861341327	6.40166226465581	6.47234768478759	6.35902287329556	6.15123957214118	6.22308024076536
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NHG4	D-dopachrome decarboxylase-like protein OS=Homo sapiens OX=9606 GN=DDTL PE=2 SV=1	0	1	1	0/0	0	0	NA	1	False	High	1	6.07118454160824	6.08341549490889	5.28485550851551	5.98564219919197	6.27756676264451	6.02063473013014	6.22570771720447	6.63068445648205	6.21465454791941	6.36266163360219
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NHR9	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SMCHD1 PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	10	6.39879190831822	6.32070970685391	6.42275928004151	6.30256837471727	6.22022895424644	6.17764303068367	6.17774982588546	5.94918052912332	6.03670232596623	6.01493406928277
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NIH7	Protein unc-119 homolog B OS=Homo sapiens OX=9606 GN=UNC119B PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	3	5.05999849863591	4.70883812611244	4.62049202476335	4.81502605242534	4.8798684598562	5.05984708112013	4.95089232050766	4.91524026835527	4.9311031247451	4.84530262670624
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NIZ1	Ras-related protein Rap-1b-like protein OS=Homo sapiens OX=9606 PE=2 SV=1	0	1	1	0/0	0	0	NA	1	False	High	5	6.07405186446836	6.88763501464979	7.01894188488338	7.00006948449506	6.61599199431941	6.70104298399773	6.65510050946038	6.67836848384705	6.81521849883597	6.47676578004056
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NJ78	12S rRNA N4-methylcytidine (m4C) methyltransferase OS=Homo sapiens OX=9606 GN=METTL15 PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	1	4.82542812720628	5.24811976603616	5.36451495769316	4.92108666429176	4.843119273709	4.97550972517883	4.92401410605716	4.81745296808778	5.0645022501623	4.99701216128551
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NKD9	Coiled-coil domain-containing protein 85C OS=Homo sapiens OX=9606 GN=CCDC85C PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	2	5.95353295295397	5.94881694737788	5.74027246931019	5.77585998086698	6.10112004180681	5.9239355596262	6.10683032135255	5.63458891093797	5.41652995191535	5.65914252252913
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NKF1	SAC3 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SAC3D1 PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	1	4.71109545172729	4.27793542047172	4.45687897584182	4.62340611565107	4.28908863253973	4.36621789509593	4.84556500837181	4.73741347016266	4.79405037276603	4.55530671154459
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NLU0	Ret finger protein-like 4A OS=Homo sapiens OX=9606 GN=RFPL4A PE=1 SV=3	0	1	1	0/0	0	0	NA	1	False	High	1	6.37327745491034	6.37768966762215	6.30673862641396	5.93083464084332	6.79774776594769	7.12001451248841	7.04350438598372	6.77681098359044	6.31480741721916	6.68397437550906
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A8MTJ3	Guanine nucleotide-binding protein G(t) subunit alpha-3 OS=Homo sapiens OX=9606 GN=GNAT3 PE=2 SV=2	0	1	1	0/0	0	0	NA	1	False	High	1	6.31575375378936	6.53412266090924	6.20053922258203	6.41348304627684	6.05655082747383	6.23733735968263	6.08543024975142	6.31428455853027	6.30091854902902	6.29978915582796
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A8MYA2	Uncharacterized protein CXorf49 OS=Homo sapiens OX=9606 GN=CXorf49B PE=2 SV=3	0	1	1	0/0	0	0	NA	1	False	High	2	5.78360795151166	5.57739323455539	5.82719467160315	5.89766777690812	6.07948156251862	5.86915115236981	5.98306853212175	5.72525926987803	6.0153800352766	5.59774197786498
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	C9JLW8	Mapk-regulated corepressor-interacting protein 1 OS=Homo sapiens OX=9606 GN=MCRIP1 PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	4	5.92976478702102	5.88081982919014	5.25425958355089	5.99612610109504	6.00058353918982	5.99646644413185	6.07234551387003	6.05598461646464	5.91584615172711	5.96947334088907
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	E9PAV3	Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	8	5.62935153489352	5.66053979835933	5.5580012953427	5.68577446676036	5.95661954864434	5.91735719715712	5.95355334820576	5.78239428942383	5.91118544053785	5.89807795711157
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	E9PRG8	Uncharacterized protein C11orf98 OS=Homo sapiens OX=9606 GN=C11orf98 PE=4 SV=2	0	1	1	0/0	0	0	NA	1	False	High	5	6.07086936130451	5.98923007796597	5.65583621592881	6.01983964690207	6.19177618062809	6.15281425698674	6.24560287461995	6.19913187042019	5.94590472709646	6.23102154639637
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	O00115	Deoxyribonuclease-2-alpha OS=Homo sapiens OX=9606 GN=DNASE2 PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	1	5.21447041795218	5.08903274421514	5.00789414463964	5.12590645618026	4.61625337579324	4.65839864658924	4.73538209062139	5.00206072696476	4.88529943513198	4.6338757639187
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	O00116	Alkyldihydroxyacetonephosphate synthase, peroxisomal OS=Homo sapiens OX=9606 GN=AGPS PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	10	6.04692133178794	6.11387532496319	6.32344271839785	6.2741212694829	5.91675028720746	5.83901690936906	5.86684230300295	5.79162766298951	5.73958021045921	5.69045545156971
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	O00139	Kinesin-like protein KIF2A OS=Homo sapiens OX=9606 GN=KIF2A PE=1 SV=3	0	1	1	0/0	0	0	NA	1	False	High	2	5.39427096256416	5.31994294699329	5.2942746608479	5.34404940451535	5.33586540320918	5.43800857816394	5.36838882420249	5.19243721784618	5.31998146355709	5.37338804019525
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	O00151	PDZ and LIM domain protein 1 OS=Homo sapiens OX=9606 GN=PDLIM1 PE=1 SV=4	0	1	1	0/0	0	0	NA	1	False	High	1	5.68482979703348	5.55997078823557	5.37046422402435	5.62940485627252	5.37500765872474	5.60637643424096	5.56545708917908	5.0457219557609	5.14833384096577	4.93630074729647
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	O00154	Cytosolic acyl coenzyme A thioester hydrolase OS=Homo sapiens OX=9606 GN=ACOT7 PE=1 SV=3	0	1	1	0/0	0	0	NA	1	False	High	4	5.85156528488682	5.68640026582707	5.40829937051305	5.5876507042856	5.80950352723373	5.88143498449111	5.73995482041121	5.80945421926382	5.88983281687508	5.87031453562286
