Checked	Tags	Confidence	Identifying.Node.Type	Identifying.Node	Search.ID	Identifying.Node.No	PSM.Ambiguity	Master.Protein.Accessions	Master.Protein.Descriptions	Delta.Cn	Rank	Search.Engine.Rank	Ions.Matched	Matched.Ions	Total.Ions	Quan.Info	Number.of.Protein.Groups	Contaminant	Protein.FDR.Confidence	.n	Control	M_1	M_2	M_3	G1_1	G1_2	G1_3	DS_1	DS_2	DS_3
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A0A0B4J2D5	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial OS=Homo sapiens OX=9606 GN=GATD3B PE=5 SV=1	0	1	1	0/0	0	0	NA	1	False	High	1	6.30727434294006	6.58338020075708	6.54050652569226	6.42729771509326	6.24602687186753	5.91766561651855	6.45726241551563	6.29099280647063	5.71290789373818	6.61143914852513
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A0A2R8Y4L2	Heterogeneous nuclear ribonucleoprotein A1-like 3 OS=Homo sapiens OX=9606 GN=HNRNPA1L3 PE=4 SV=1	0	1	1	0/0	0	0	NA	1	False	High	2	4.33686162822779	4.57127184111104	4.90286111261382	4.93495401344987	4.51594607788493	4.71496560050814	4.69036628886009	4.82435455172229	4.83235817836073	4.57091008549196
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A0AVT1	Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	10	6.38593959719165	6.4121459960254	6.24052030684072	6.29672985760235	6.45937934659996	6.54678406190465	6.41508914464344	6.38279104891665	6.41496028008163	6.3866192743973
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A0MZ66	Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1 PE=1 SV=4	0	1	1	0/0	0	0	NA	1	False	High	2	6.32055613733541	6.26286626793279	6.00652258829372	6.22343021946995	6.06195605955231	6.1392494395643	6.09236341049211	5.81347556832129	5.96883663835245	5.80971396844008
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A1L0T0	2-hydroxyacyl-CoA lyase 2 OS=Homo sapiens OX=9606 GN=ILVBL PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	1	4.06254190401566	4.07963100737263	4.83165555574076	4.29414889087828	4.2587856915436	4.17802350223211	3.8492119023684	4.0705958790481	3.91433622210685	3.6636282621516
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A1X283	SH3 and PX domain-containing protein 2B OS=Homo sapiens OX=9606 GN=SH3PXD2B PE=1 SV=3	0	1	1	0/0	0	0	NA	1	False	High	2	5.39760102057004	5.32797501875202	5.14127652185745	5.44535641405269	5.33918046416074	5.27672256788947	5.26682960042705	5.08102514752133	5.2028533762224	4.86556426952222
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A3KMH1	von Willebrand factor A domain-containing protein 8 OS=Homo sapiens OX=9606 GN=VWA8 PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	1	5.92082552113661	6.22870058994617	6.26436051076849	5.98053290737254	5.83186801784	5.71756287514943	6.02604923943857	5.71776428406866	5.7037797396144	5.96646553424324
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A3KN83	Protein strawberry notch homolog 1 OS=Homo sapiens OX=9606 GN=SBNO1 PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	1	4.16196992569142	3.8406571810603	4.05032371874171	4.0381952363169	4.47333404497171	4.301819879996	4.22301845512744	4.06472902497242	4.35613502137874	4.20667521345244
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A4D1P6	WD repeat-containing protein 91 OS=Homo sapiens OX=9606 GN=WDR91 PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	1	5.52824398563348	5.87345454996312	5.66777655925297	5.8541048658392	5.36241089042817	5.36779903658626	5.4851813446621	5.27250471443654	5.12652742527372	5.53878684808751
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A5YKK6	CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	3	5.37440474585867	5.04226305230517	5.44162994999276	5.03197564373485	4.91371632697819	5.27998690115064	5.18384379264075	5.06180819450869	5.01016844172896	5.30392708007557
