Checked	Tags	Confidence	Identifying.Node.Type	Identifying.Node	Search.ID	Identifying.Node.No	PSM.Ambiguity	Master.Protein.Accessions	Master.Protein.Descriptions	Delta.Cn	Rank	Search.Engine.Rank	Ions.Matched	Matched.Ions	Total.Ions	Quan.Info	Number.of.Protein.Groups	Contaminant	Protein.FDR.Confidence	.n	Control	M_1	M_2	M_3	G1_1	G1_2	G1_3	DS_1	DS_2	DS_3
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A0A0B4J2D5	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial OS=Homo sapiens OX=9606 GN=GATD3B PE=5 SV=1	0	1	1	0/0	0	0	NA	1	False	High	1	6.29848790791896	6.58296902272721	6.51226441404089	6.42071687205599	6.26469741378285	5.92262110275782	6.48682051945013	6.29719000212853	5.70339364340575	6.62133262399616
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A0A2R8Y4L2	Heterogeneous nuclear ribonucleoprotein A1-like 3 OS=Homo sapiens OX=9606 GN=HNRNPA1L3 PE=4 SV=1	0	1	1	0/0	0	0	NA	1	False	High	2	4.38415746402961	4.60900516694185	4.94328421218864	4.98535348905755	4.54065558127154	4.74189984475135	4.7360024601496	4.84510237978151	4.8395745177009	4.58402786311932
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A0AVT1	Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	10	6.38172796764646	6.40050587866221	6.23068985882706	6.3023152128193	6.48874465642645	6.58686078887255	6.43219789806246	6.39956719906837	6.40472843143018	6.40304132255376
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A0MZ66	Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1 PE=1 SV=4	0	1	1	0/0	0	0	NA	1	False	High	2	6.31633867767795	6.26603521471522	6.01854374925408	6.2226951582864	6.07301734236779	6.15753166164523	6.10802950265343	5.80145404055615	5.96432520849296	5.78959560944353
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A1L0T0	2-hydroxyacyl-CoA lyase 2 OS=Homo sapiens OX=9606 GN=ILVBL PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	1	4.17896713920513	4.15772873860842	4.88896121070398	4.32111064716005	4.29651425578384	4.24099488670892	3.84788844539113	4.15772873860842	4.00917914104082	3.7308182053519
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A1X283	SH3 and PX domain-containing protein 2B OS=Homo sapiens OX=9606 GN=SH3PXD2B PE=1 SV=3	0	1	1	0/0	0	0	NA	1	False	High	2	5.41524106402372	5.32742757515248	5.18965221055637	5.45882390897411	5.3595633171497	5.30091426558288	5.2683933676306	5.0689516923745	5.21404113498277	4.84001896920406
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A3KMH1	von Willebrand factor A domain-containing protein 8 OS=Homo sapiens OX=9606 GN=VWA8 PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	1	5.93049129632787	6.22364696080658	6.24082063850374	5.97219888595401	5.84322453164956	5.73335142126447	6.03294332517461	5.71072427745166	5.68150460693186	5.97408366617903
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A3KN83	Protein strawberry notch homolog 1 OS=Homo sapiens OX=9606 GN=SBNO1 PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	1	4.26089924589844	3.91962226576447	4.20996916600665	4.1212701262586	4.52313784266659	4.37674765053331	4.27603454869005	4.14596350263261	4.40047752077467	4.25170086909281
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A4D1P6	WD repeat-containing protein 91 OS=Homo sapiens OX=9606 GN=WDR91 PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	1	5.53671527677317	5.88903129353108	5.6986341637062	5.87030015896311	5.38093993913408	5.38303215054586	5.49003173237161	5.25355481141646	5.12742147934258	5.54342003056483
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A5YKK6	CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	3	5.39458729595593	5.05065478865911	5.46661597096757	5.05456567908816	4.92647012653218	5.30364418665062	5.20208723682982	5.0557352812786	5.02061745670311	5.31113931231108
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NDB9	Paralemmin-3 OS=Homo sapiens OX=9606 GN=PALM3 PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	1	6.62294205365633	6.43022838770677	6.29261687421396	6.67322652820195	6.09279883514815	6.30428389606111	6.35318745122632	5.98738865191884	6.23782324075603	5.97207544920443
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NDG6	Glycerol-3-phosphate phosphatase OS=Homo sapiens OX=9606 GN=PGP PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	1	6.50189172144123	6.4549919933698	6.13776163603399	6.46203636964987	6.00714528063563	5.91267116389201	6.30844346223963	6.02117076989335	5.60613210713571	6.17129143762312
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NDU8	RAB7A-interacting MON1-CCZ1 complex subunit 1 OS=Homo sapiens OX=9606 GN=RIMOC1 PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	2	5.41100048173129	5.2730151037729	5.0568950371271	5.26233609718433	5.74183452552526	5.69949120320043	5.5487326831667	5.73036738353654	6.40922610376274	5.67551103075488
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NFI3	Zinc finger protein 316 OS=Homo sapiens OX=9606 GN=ZNF316 PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	2	6.13611142491447	6.24517339758506	6.3049633571939	6.4656188068508	6.45276885796428	6.38364116684576	6.45609768590912	6.3407230381013	6.14310347524428	6.20838337926122
