Checked	Tags	Confidence	Identifying.Node.Type	Identifying.Node	Search.ID	Identifying.Node.No	PSM.Ambiguity	Master.Protein.Accessions	Master.Protein.Descriptions	Delta.Cn	Rank	Search.Engine.Rank	Ions.Matched	Matched.Ions	Total.Ions	Quan.Info	Number.of.Protein.Groups	Contaminant	Protein.FDR.Confidence	.n	Control	M_1	M_2	M_3	G1_1	G1_2	G1_3	DS_1	DS_2	DS_3
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A0A0B4J2D5	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial OS=Homo sapiens OX=9606 GN=GATD3B PE=5 SV=1	0	1	1	0/0	0	0	NA	1	False	High	1	6.44014052294215	6.70150857809606	6.65529940458707	6.53662739151525	6.35436074081816	6.01500449621333	6.57024222878247	6.39702653539482	5.80763322292166	6.72058004085163
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A0A2R8Y4L2	Heterogeneous nuclear ribonucleoprotein A1-like 3 OS=Homo sapiens OX=9606 GN=HNRNPA1L3 PE=4 SV=1	0	1	1	0/0	0	0	NA	1	False	High	2	4.40605377780278	4.66666783857521	4.97856660475296	5.05173046159117	4.6364391034815	4.814653275081	4.81165363920845	4.96379208301495	4.96866029079076	4.69823384943748
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A0AVT1	Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	10	6.52023496655418	6.52401186022138	6.35975744396706	6.40688821522975	6.56564688585625	6.64895750922266	6.52455497755969	6.49588602369367	6.5174694806569	6.48943320457987
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A0MZ66	Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1 PE=1 SV=4	0	1	1	0/0	0	0	NA	1	False	High	2	6.45513438582979	6.37487620914446	6.12714821519337	6.32265285718216	6.17302475094763	6.24652835687958	6.20373875428435	5.90413525889456	6.04977088289794	5.89915496767897
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A1L0T0	2-hydroxyacyl-CoA lyase 2 OS=Homo sapiens OX=9606 GN=ILVBL PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	1	4.22258478135683	4.21353469837462	4.92441985597046	4.403269746771	4.40071996880782	4.30542574625914	4.00579426887103	4.28571319931573	4.08792637546148	3.83016073023934
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A1X283	SH3 and PX domain-containing protein 2B OS=Homo sapiens OX=9606 GN=SH3PXD2B PE=1 SV=3	0	1	1	0/0	0	0	NA	1	False	High	2	5.47179841431973	5.42822472451344	5.24254716564396	5.55436089615874	5.44569026995245	5.3752057400889	5.37037160567555	5.1811227229753	5.32485490585589	4.96144728251889
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A3KMH1	von Willebrand factor A domain-containing protein 8 OS=Homo sapiens OX=9606 GN=VWA8 PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	1	6.03031928932872	6.3370925713529	6.37351816606901	6.07157461853861	5.94400040531691	5.824336126303	6.13727646323729	5.81131160104145	5.78670421076855	6.07040131854237
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A3KN83	Protein strawberry notch homolog 1 OS=Homo sapiens OX=9606 GN=SBNO1 PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	1	4.31709147212521	3.96428418603861	4.15401436557901	4.14606225176133	4.6120795248692	4.4268847711448	4.38443247155857	4.27174320464008	4.52667046544985	4.3847242780995
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A4D1P6	WD repeat-containing protein 91 OS=Homo sapiens OX=9606 GN=WDR91 PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	1	5.59941799411152	5.9896701414369	5.77854046793862	5.95756691683087	5.46691724942613	5.46897929322232	5.5838584837	5.36371704524956	5.2272957634337	5.64425119222858
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A5YKK6	CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	3	5.45280387410261	5.13502731482093	5.53312268293911	5.14154509284312	5.02240901585989	5.37723683332511	5.28908211170975	5.16602743210474	5.13513200721269	5.41844979443457
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NDB9	Paralemmin-3 OS=Homo sapiens OX=9606 GN=PALM3 PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	1	6.76651683797163	6.55052248184878	6.43042773388487	6.80625249301074	6.19131579306714	6.38868199043994	6.44100308752048	6.08202022124429	6.32943628554246	6.06835210091195
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NDG6	Glycerol-3-phosphate phosphatase OS=Homo sapiens OX=9606 GN=PGP PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	1	6.6442586502188	6.57243906476244	6.25567694690678	6.5799948101131	6.10903233715988	6.00517872916077	6.39633497625314	6.11634560311916	5.71096748494317	6.2748364980502
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NDU8	RAB7A-interacting MON1-CCZ1 complex subunit 1 OS=Homo sapiens OX=9606 GN=RIMOC1 PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	2	5.4694190149645	5.37044439356718	5.10739199189673	5.36796153649571	5.84339547983631	5.7933120903913	5.64610356428594	5.83204895433732	6.52068155385364	5.77839048414595
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NFI3	Zinc finger protein 316 OS=Homo sapiens OX=9606 GN=ZNF316 PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	2	6.25045212492453	6.35316375866013	6.44793482063093	6.58327769055371	6.52545841937739	6.4526094803176	6.54782354745142	6.44086448040925	6.23116187433286	6.30400824680688
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NHG4	D-dopachrome decarboxylase-like protein OS=Homo sapiens OX=9606 GN=DDTL PE=2 SV=1	0	1	1	0/0	0	0	NA	1	False	High	1	6.1474244899341	6.1582970062663	5.37214011646827	6.05986323506203	6.33475869727417	6.06789251286362	6.29439450228585	6.71707228463542	6.29463757611457	6.44824435700218
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NHR9	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SMCHD1 PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	10	6.4918747837813	6.40113829718531	6.49061023093539	6.378620962165	6.27769383367805	6.22642110143204	6.24511650924916	6.02416347824729	6.11651494761126	6.08892088081543
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NIH7	Protein unc-119 homolog B OS=Homo sapiens OX=9606 GN=UNC119B PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	3	5.08425142049467	4.75158699859064	4.71912294549647	4.88248196753218	4.94371384876146	5.09780169999231	4.98448819669748	4.97292036253698	5.00985702768662	4.8802849286254
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NIZ1	Ras-related protein Rap-1b-like protein OS=Homo sapiens OX=9606 PE=2 SV=1	0	1	1	0/0	0	0	NA	1	False	High	5	6.15043922739755	6.98131626474442	7.07661094818985	7.08015300834595	6.67157292548704	6.75488905862364	6.73560687515774	6.76555429795751	6.89577662539117	6.56615361342194
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NJ78	12S rRNA N4-methylcytidine (m4C) methyltransferase OS=Homo sapiens OX=9606 GN=METTL15 PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	1	4.83762133345419	5.30347508947392	5.45043910401853	4.98915551545751	4.90713959952962	5.01264771798097	4.9568701253415	4.87349660459787	5.14338389573329	5.03705362610382
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NKD9	Coiled-coil domain-containing protein 85C OS=Homo sapiens OX=9606 GN=CCDC85C PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	2	6.02372420599197	6.02055203233568	5.81977925170656	5.84886866199132	6.15915191463117	5.97025701867841	6.17224485550417	5.70430721050524	5.49574869822916	5.72126450698841
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NKF1	SAC3 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SAC3D1 PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	1	4.71741059442053	4.31061134882414	4.55830415735749	4.68975463785504	4.35574630687179	4.3974562057566	4.87626161685312	4.79211765615052	4.87267303437548	4.5806183188765
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NLU0	Ret finger protein-like 4A OS=Homo sapiens OX=9606 GN=RFPL4A PE=1 SV=3	0	1	1	0/0	0	0	NA	1	False	High	1	6.46504858307051	6.45945024300167	6.3765710327268	6.00473893774477	6.85246348628017	7.17791742609095	7.13470206046156	6.86564422004998	6.3948863515219	6.78027213740275
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A8MTJ3	Guanine nucleotide-binding protein G(t) subunit alpha-3 OS=Homo sapiens OX=9606 GN=GNAT3 PE=2 SV=2	0	1	1	0/0	0	0	NA	1	False	High	1	6.40456747743091	6.61954007292537	6.27218535237973	6.49017662193372	6.11479486284361	6.28669344173749	6.15025571981991	6.39537747580171	6.38098418339042	6.38327522717629
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A8MYA2	Uncharacterized protein CXorf49 OS=Homo sapiens OX=9606 GN=CXorf49B PE=2 SV=3	0	1	1	0/0	0	0	NA	1	False	High	2	5.84506303220156	5.64044577875104	5.90521695565051	5.97138039881818	6.13761644085729	5.91494214215727	6.04507636622769	5.79649492603526	6.09517223875568	5.65781639584525
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	C9JLW8	Mapk-regulated corepressor-interacting protein 1 OS=Homo sapiens OX=9606 GN=MCRIP1 PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	4	5.99873407276624	5.9509653878738	5.34206672313421	6.07040772459892	6.05909399528344	6.04349020894773	6.13681081000598	6.1327549180118	5.99554304183763	6.04194414203323
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	E9PAV3	Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	8	5.68287599542784	5.7255360079822	5.64062099077727	5.75826253369052	6.01533928624047	5.96361495890425	6.01474873948085	5.85458609265535	5.99087786756437	5.96816788695599
