Checked	Tags	Confidence	Identifying.Node.Type	Identifying.Node	Search.ID	Identifying.Node.No	PSM.Ambiguity	Master.Protein.Accessions	Master.Protein.Descriptions	Delta.Cn	Rank	Search.Engine.Rank	Ions.Matched	Matched.Ions	Total.Ions	Quan.Info	Number.of.Protein.Groups	Contaminant	Protein.FDR.Confidence	.n	Control	M_1	M_2	M_3	G1_1	G1_2	G1_3	DS_1	DS_2	DS_3
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A0A0B4J2D5	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial OS=Homo sapiens OX=9606 GN=GATD3B PE=5 SV=1	0	1	1	0/0	0	0	NA	1	False	High	1	6.35825648397959	6.6163500090158	6.6207417642707	6.47330522654158	6.28972114965255	5.95632552173165	6.47634721678972	6.31866375380396	5.73885815670339	6.61490838516514
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A0A2R8Y4L2	Heterogeneous nuclear ribonucleoprotein A1-like 3 OS=Homo sapiens OX=9606 GN=HNRNPA1L3 PE=4 SV=1	0	1	1	0/0	0	0	NA	1	False	High	2	4.42363249283162	4.62798992457168	4.91487537401708	4.99694037312398	4.5635825859707	4.76748566010623	4.76486922719618	4.90901951329533	4.90068785411048	4.65782636309985
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A0AVT1	Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	10	6.4344344702625	6.4429077429518	6.32006469897968	6.34431151922139	6.50201788950114	6.58419892994302	6.43188387537127	6.4158960719838	6.44801532751488	6.39122100678983
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A0MZ66	Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1 PE=1 SV=4	0	1	1	0/0	0	0	NA	1	False	High	2	6.37251717710476	6.29717870872833	6.08341383518843	6.26056016952815	6.1075178184318	6.1856290702529	6.11966195598917	5.83388518323456	5.98076416815954	5.81999194108405
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A1L0T0	2-hydroxyacyl-CoA lyase 2 OS=Homo sapiens OX=9606 GN=ILVBL PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	1	4.24913476159948	4.18520743480993	4.85978781391287	4.35220565188545	4.3267359919731	4.26314161959336	3.98059791825162	4.24210141665739	4.02079652026206	3.81776727596954
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A1X283	SH3 and PX domain-containing protein 2B OS=Homo sapiens OX=9606 GN=SH3PXD2B PE=1 SV=3	0	1	1	0/0	0	0	NA	1	False	High	2	5.43726435841938	5.37215102014209	5.1834426535197	5.49668274102794	5.37670445124719	5.32266243103928	5.30861977105165	5.12277301635791	5.25654170452353	4.91254550072164
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A3KMH1	von Willebrand factor A domain-containing protein 8 OS=Homo sapiens OX=9606 GN=VWA8 PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	1	5.96847468508385	6.26025814007119	6.3340645165664	6.01092460255968	5.87739803507074	5.76748566010623	6.05498011457419	5.742589349215	5.71794916694041	5.98571191328361
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A3KN83	Protein strawberry notch homolog 1 OS=Homo sapiens OX=9606 GN=SBNO1 PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	1	4.33902026511667	3.94165040347544	4.07599636362595	4.09647604667489	4.53910649397449	4.38343585331107	4.34909283159343	4.22836136003108	4.45912087207682	4.35443421964991
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A4D1P6	WD repeat-containing protein 91 OS=Homo sapiens OX=9606 GN=WDR91 PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	1	5.55864359723277	5.92077167379952	5.72874895388907	5.89757197826082	5.3980329606877	5.4155366964781	5.51638757699107	5.30236194147486	5.15907589508791	5.57331429587747
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A5YKK6	CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	3	5.41919861304609	5.08565094425296	5.47906698247266	5.0862389380485	4.95139861651452	5.32467404610608	5.22950793071988	5.10792618526258	5.06700031018953	5.35479985059803
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NDB9	Paralemmin-3 OS=Homo sapiens OX=9606 GN=PALM3 PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	1	6.66867365311326	6.46881279823889	6.3919629002746	6.74138108785233	6.12589634774666	6.32641945149817	6.35057024599893	6.00884226177325	6.26016202020223	5.9837288270045
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NDG6	Glycerol-3-phosphate phosphatase OS=Homo sapiens OX=9606 GN=PGP PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	1	6.55239364504277	6.49022875370241	6.21417578105931	6.51642346007754	6.04321932493743	5.94659398371388	6.3070987429288	6.04260266767393	5.64228489700834	6.18354966044633
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NDU8	RAB7A-interacting MON1-CCZ1 complex subunit 1 OS=Homo sapiens OX=9606 GN=RIMOC1 PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	2	5.43500130691081	5.31569053088209	5.04593912976977	5.31135441435404	5.77631190995643	5.73675914447397	5.57696518224502	5.76298537764453	6.45122432778193	5.70312471002841
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NFI3	Zinc finger protein 316 OS=Homo sapiens OX=9606 GN=ZNF316 PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	2	6.17784346741369	6.27596222281863	6.40977417639106	6.51968747739944	6.46163719908039	6.38973387721144	6.45452910658403	6.36178015154526	6.16198162626332	6.21177999276345
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NHG4	D-dopachrome decarboxylase-like protein OS=Homo sapiens OX=9606 GN=DDTL PE=2 SV=1	0	1	1	0/0	0	0	NA	1	False	High	1	6.07985367672259	6.08554669558854	5.31528730953577	5.9992805115785	6.27002534831163	6.00870634268576	6.2078891390009	6.63344173473175	6.22539660204155	6.35136138560029
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NHR9	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SMCHD1 PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	10	6.40746104343257	6.32284090753357	6.45319108106176	6.31620668710379	6.21268753991356	6.1657146432393	6.1599312476819	5.95193780737302	6.04744438008837	6.00363382128087
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NIH7	Protein unc-119 homolog B OS=Homo sapiens OX=9606 GN=UNC119B PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	3	5.06866763375027	4.7109693267921	4.65092382578361	4.82866436481187	4.87232704552332	5.04791869367575	4.9330737423041	4.91799754660497	4.94184517886724	4.83400237870434
