Checked	Tags	Confidence	Identifying.Node.Type	Identifying.Node	Search.ID	Identifying.Node.No	PSM.Ambiguity	Master.Protein.Accessions	Master.Protein.Descriptions	Delta.Cn	Rank	Search.Engine.Rank	Ions.Matched	Matched.Ions	Total.Ions	Quan.Info	Number.of.Protein.Groups	Contaminant	Protein.FDR.Confidence	.n	Control	M_1	M_2	M_3	G1_1	G1_2	G1_3	DS_1	DS_2	DS_3
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A0A0B4J2D5	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial OS=Homo sapiens OX=9606 GN=GATD3B PE=5 SV=1	0	1	1	0/0	0	0	NA	1	False	High	1	5.91647664443772	6.79571500650173	5.82273014794452	6.42122329922514	6.467605550083	5.89481776330794	6.73606362787181	6.4757334309664	5.79701297783614	6.81506301719287
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A0A2R8Y4L2	Heterogeneous nuclear ribonucleoprotein A1-like 3 OS=Homo sapiens OX=9606 GN=HNRNPA1L3 PE=4 SV=1	0	1	1	0/0	0	0	NA	1	False	High	2	3.98185265328974	4.8073549220576	4.1168637576909	4.94485844580754	4.74146698640115	4.70597790168252	5.02458563827827	5.06608919045777	4.95884267524324	4.85798099512757
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A0AVT1	Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	10	5.99265463072063	6.62227274043772	5.52205308265349	6.29222959190495	6.67990228993158	6.52269117151931	6.69160028645336	6.57296574914624	6.50617014864764	6.59137563881755
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A0MZ66	Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1 PE=1 SV=4	0	1	1	0/0	0	0	NA	1	False	High	2	5.93073733756289	6.47654370621426	5.28540221886225	6.2084782422117	6.28540221886225	6.12412131182919	6.37937836707126	5.99095486039699	6.0389189892923	6.02014657311178
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A1L0T0	2-hydroxyacyl-CoA lyase 2 OS=Homo sapiens OX=9606 GN=ILVBL PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	1	3.8073549220576	4.36457243229586	4.06177619758669	4.30012372456901	4.50462039240355	4.20163386116965	4.24031432933371	4.39917109381982	4.07895134139482	4.01792190799726
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A1X283	SH3 and PX domain-containing protein 2B OS=Homo sapiens OX=9606 GN=SH3PXD2B PE=1 SV=3	0	1	1	0/0	0	0	NA	1	False	High	2	4.99548451887751	5.55151601762801	4.38543103719352	5.4446008137115	5.55458885167764	5.26115467261557	5.56833618213375	5.27984269352035	5.31469652565629	5.11270013274936
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A3KMH1	von Willebrand factor A domain-containing protein 8 OS=Homo sapiens OX=9606 GN=VWA8 PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	1	5.52669484554198	6.43962313755712	5.53605290024021	5.95884267524324	6.05528243550119	5.70597790168252	6.31469652565629	5.89965902637744	5.77610398807316	6.18586654531133
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A3KN83	Protein strawberry notch homolog 1 OS=Homo sapiens OX=9606 GN=SBNO1 PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	1	3.8972404255748	4.12101540096137	3.27798474729977	4.04439411935845	4.71699089440494	4.32192809488736	4.60880924267552	4.38543103719352	4.51727569320958	4.55458885167764
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A4D1P6	WD repeat-containing protein 91 OS=Homo sapiens OX=9606 GN=WDR91 PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	1	5.1168637576909	6.10013667128545	4.93073733756289	5.84549005094437	5.57591736111815	5.35402893805439	5.77610398807316	5.4594316186373	5.21723071622067	5.7734689279052
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A5YKK6	CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	3	4.97741877350422	5.26501594173889	4.68105536614647	5.03415701073206	5.12928301694497	5.26316628768237	5.48922434180198	5.26499586242502	5.12515513132229	5.55495448262575
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NDB9	Paralemmin-3 OS=Homo sapiens OX=9606 GN=PALM3 PE=1 SV=2	0	1	1	0/0	0	0	NA	1	False	High	1	6.22689381357139	6.64817779572482	5.59395128394841	6.68929916053589	6.3037807481771	6.26491169307446	6.61028665708102	6.16591193893569	6.31831684133498	6.18388345903223
False	NA	High	Sequest HT	Sequest HT (A2)	A	2	Unambiguous	A6NDG6	Glycerol-3-phosphate phosphatase OS=Homo sapiens OX=9606 GN=PGP PE=1 SV=1	0	1	1	0/0	0	0	NA	1	False	High	1	6.1106138055009	6.66959375118833	5.41616416473313	6.4643415327611	6.22110372536788	5.88508622529017	6.5668151540109	6.19967234483636	5.70043971814109	6.38370429247405
